provinsi,pulau_gugus,mangrove_eksisting_ha,potensi_habitat_ha
Aceh,Sumatera,31772,28918
Sumatera Utara,Sumatera,61430,14465
Sumatera Barat,Sumatera,16531,1211
Riau,Sumatera,231438,12234
Kepulauan Riau,Sumatera,66943,4991
Kepulauan Bangka Belitung,Sumatera,66712,9556
Bengkulu,Sumatera,2621,1939
Jambi,Sumatera,12018,667
Sumatera Selatan,Sumatera,173114,44052
Lampung,Sumatera,10797,307
Banten,Jawa,3750,10702
DKI Jakarta,Jawa,608,39
Jawa Barat,Jawa,12429,39039
Jawa Tengah,Jawa,16100,42862
Daerah Istimewa Yogyakarta,Jawa,14,12
Jawa Timur,Jawa,30839,43795
Bali,Bali-Nusra,2330,189
Nusa Tenggara Barat,Bali-Nusra,11032,4050
Nusa Tenggara Timur,Bali-Nusra,22935,2020
Kalimantan Barat,Kalimantan,162516,14056
Kalimantan Tengah,Kalimantan,46408,18240
Kalimantan Selatan,Kalimantan,81266,31474
Kalimantan Timur,Kalimantan,240870,110867
Kalimantan Utara,Kalimantan,189740,136549
Sulawesi Utara,Sulawesi,12014,1389
Gorontalo,Sulawesi,8970,14102
Sulawesi Tengah,Sulawesi,38064,12434
Sulawesi Barat,Sulawesi,3491,2457
Sulawesi Selatan,Sulawesi,10800,124561
Sulawesi Tenggara,Sulawesi,65141,29001
Maluku Utara,Kep. Maluku,47783,850
Maluku,Kep. Maluku,188955,140
Papua,Papua,162262,2894
Papua Barat,Papua,326593,978
Papua Barat Daya,Papua,154285,3429
Papua Tengah,Papua,303820,2660
Papua Selatan,Papua,624075,2696
